name,team,first_year,second_year,position,is_jinx
박지훈,KIA,2012,2013,투수,1
변진수,두산,2012,2013,투수,1
백인식,SSG,2013,2014,투수,1
조무근,KIA,2015,2016,투수,1
하재훈,SSG,2019,2020,투수,1
전민수,NC,2016,2017,RF,1
박정음,넥센,2016,2017,LF,1
전병우,삼성,2018,2019,3B,1
이학주,삼성,2019,2020,SS,1
안재석,두산,2021,2022,2B,1
고원준,넥센,2010,2011,투수,0
한현희,넥센,2012,2013,투수,0
강재민,한화,2020,2021,투수,0
이의리,KIA,2021,2022,투수,0
박영현,KIA,2022,2023,투수,0
권희동,NC,2013,2014,LF,0
나성범,NC,2013,2014,RF,0
구자욱,삼성,2015,2016,1B,0
문보경,LG,2021,2022,3B,0
김도영,KIA,2022,2023,3B,0
