index,홈,ERA,OPS,Name
0,홈경기,3.31,0.662,문동주
1,원정경기,4.03,0.656,문동주
3,KT 위즈,3.60,0.754,문동주
6,SSG 랜더스,27.00,1.203,문동주
10,키움 히어로즈,2.25,0.625,문동주
11,고척스카이돔,3.60,0.814,문동주
12,광주-KIA 챔피언스 필드,4.41,0.502,문동주
13,대구 삼성 라이온즈파크,0.00,0.318,문동주
14,사직야구장,20.25,1.706,문동주
15,서울종합운동장 야구장,2.91,0.718,문동주
16,인천 SSG 랜더스필드,27.00,1.203,문동주
17,창원NC파크,0.00,0.231,문동주
18,한화생명 이글스 파크,3.31,0.662,문동주
0,홈경기,2.15,0.500,정철원
1,원정경기,4.11,0.793,정철원
3,KT 위즈,7.20,0.919,정철원
6,SSG 랜더스,2.89,0.795,정철원
9,키움 히어로즈,2.13,0.492,정철원
11,고척스카이돔,3.68,0.574,정철원
12,광주-KIA 챔피언스 필드,0.00,0.278,정철원
13,대구 삼성 라이온즈파크,11.25,1.180,정철원
14,사직야구장,0.00,0.393,정철원
15,서울종합운동장 야구장,2.08,0.520,정철원
16,인천 SSG 랜더스필드,13.50,1.538,정철원
17,창원NC파크,2.25,0.710,정철원
18,케이티위즈파크,16.20,1.645,정철원
19,한화생명 이글스 파크,0.00,0.393,정철원
0,홈경기,3.10,0.560,이의리
1,원정경기,4.25,0.666,이의리
2,KT 위즈,3.60,0.526,이의리
5,SSG 랜더스,0.77,0.367,이의리
9,키움 히어로즈,4.30,0.683,이의리
11,고척스카이돔,3.18,0.611,이의리
12,광주-KIA 챔피언스 필드,3.10,0.560,이의리
13,대구 삼성 라이온즈파크,6.55,0.821,이의리
14,사직야구장,9.00,0.912,이의리
15,서울종합운동장 야구장,1.35,0.512,이의리
16,인천 SSG 랜더스필드,1.50,0.536,이의리
17,케이티위즈파크,7.20,0.680,이의리
18,한화생명 이글스 파크,1.80,0.488,이의리
0,홈경기,3.34,0.671,소형준
1,원정경기,5.01,0.732,소형준
10,대구 삼성 라이온즈파크,13.50,1.172,소형준
11,서울종합운동장 야구장,3.71,0.598,소형준
12,인천 SSG 랜더스필드,3.60,0.839,소형준
13,창원NC파크,3.00,0.590,소형준
14,케이티위즈파크,3.34,0.671,소형준
15,한화생명 이글스 파크,5.19,0.726,소형준
0,홈경기,2.83,0.613,정우영
1,원정경기,4.42,0.636,정우영
3,KT 위즈,1.59,0.547,정우영
9,키움 히어로즈,2.25,0.603,정우영
11,고척스카이돔,3.00,0.740,정우영
12,광주-KIA 챔피언스 필드,27.00,1.397,정우영
13,대구 삼성 라이온즈파크,2.45,0.584,정우영
14,사직야구장,15.43,0.705,정우영
15,서울종합운동장 야구장,2.87,0.620,정우영
16,울산문수야구장,0.00,0.500,정우영
17,인천 SSG 랜더스필드,3.18,0.524,정우영
18,창원NC파크,3.86,0.388,정우영
19,청주야구장,0.00,0.500,정우영
20,케이티위즈파크,0.00,0.410,정우영
21,한화생명 이글스 파크,0.00,0.457,정우영
0,홈경기,3.90,0.754,신재영
1,원정경기,3.89,0.759,신재영
3,KT 위즈,1.42,0.561,신재영
11,고척스카이돔,3.90,0.754,신재영
12,광주-KIA 챔피언스 필드,2.96,0.693,신재영
13,대구 삼성 라이온즈파크,10.38,1.017,신재영
14,사직야구장,4.05,0.741,신재영
15,서울종합운동장 야구장,7.71,0.986,신재영
16,케이티위즈파크,0.00,0.445,신재영
17,한화생명 이글스 파크,2.92,0.809,신재영
0,홈경기,3.63,0.651,이재학
1,원정경기,2.25,0.635,이재학
10,광주무등경기장 야구장,5.68,0.935,이재학
11,대구시민운동장 야구장,2.77,0.695,이재학
12,마산종합운동장 야구장,3.63,0.651,이재학
13,목동야구장,0.00,0.539,이재학
14,사직야구장,1.98,0.678,이재학
15,서울종합운동장 야구장,2.45,0.633,이재학
16,인천 SSG 랜더스필드,0.84,0.450,이재학
17,한화생명 이글스 파크,6.23,0.809,이재학
